report_date,market,source,noncomm_net,noncomm_net_pct_oi,lev_funds_net,open_interest,usable_from
2004-04-20,nasdaq100,legacy,31896,12.0152,,265463,2004-04-26
2004-04-20,sp500,legacy,-38092,-6.6775,,570449,2004-04-26
2004-04-27,nasdaq100,legacy,48416,16.9001,,286484,2004-05-03
2004-04-27,sp500,legacy,-26991,-4.7535,,567817,2004-05-03
2004-05-04,nasdaq100,legacy,628,0.2144,,292892,2004-05-10
2004-05-04,sp500,legacy,9040,1.6366,,552354,2004-05-10
2004-05-11,nasdaq100,legacy,-19029,-6.657,,285851,2004-05-17
2004-05-11,sp500,legacy,-22600,-3.6705,,615722,2004-05-17
2004-05-18,nasdaq100,legacy,-18938,-6.028,,314168,2004-05-24
2004-05-18,sp500,legacy,-8274,-1.425,,580649,2004-05-24
2004-05-25,nasdaq100,legacy,23461,7.2457,,323793,2004-06-01
2004-05-25,sp500,legacy,-8072,-1.386,,582413,2004-06-01
2004-06-01,nasdaq100,legacy,-23755,-7.5038,,316571,2004-06-07
2004-06-01,sp500,legacy,-21867,-3.8728,,564625,2004-06-07
2004-06-08,nasdaq100,legacy,12302,3.6983,,332637,2004-06-15
2004-06-08,sp500,legacy,-13487,-2.0146,,669469,2004-06-15
2004-06-15,nasdaq100,legacy,18323,4.7968,,381985,2004-06-21
2004-06-15,sp500,legacy,12167,1.442,,843751,2004-06-21
2004-06-22,nasdaq100,legacy,22918,17.0507,,134411,2004-06-28
2004-06-22,sp500,legacy,32629,5.787,,563835,2004-06-28
2004-06-29,nasdaq100,legacy,35860,20.286,,176772,2004-07-06
2004-06-29,sp500,legacy,30350,5.1404,,590422,2004-07-06
2004-07-06,nasdaq100,legacy,-401,-0.2077,,193059,2004-07-12
2004-07-06,sp500,legacy,-24613,-4.2121,,584344,2004-07-12
2004-07-13,nasdaq100,legacy,-10764,-5.4292,,198260,2004-07-19
2004-07-13,sp500,legacy,-5836,-1.0359,,563397,2004-07-19
2004-07-20,nasdaq100,legacy,-1218,-0.5847,,208323,2004-07-26
2004-07-20,sp500,legacy,-31394,-5.2368,,599491,2004-07-26
2004-07-27,nasdaq100,legacy,-19322,-8.2922,,233013,2004-08-02
2004-07-27,sp500,legacy,-25419,-4.0219,,632008,2004-08-02
2004-08-03,nasdaq100,legacy,-68035,-30.4202,,223651,2004-08-09
2004-08-03,sp500,legacy,-37705,-5.9142,,637529,2004-08-09
2004-08-10,nasdaq100,legacy,-43216,-18.2344,,237002,2004-08-16
2004-08-10,sp500,legacy,-19193,-2.8816,,666046,2004-08-16
2004-08-17,nasdaq100,legacy,-49327,-18.0018,,274011,2004-08-23
2004-08-17,sp500,legacy,-47271,-6.7041,,705105,2004-08-23
2004-08-24,nasdaq100,legacy,-68190,-25.2145,,270440,2004-08-30
2004-08-24,sp500,legacy,-53965,-7.6603,,704475,2004-08-30
2004-08-31,nasdaq100,legacy,-55853,-19.0963,,292480,2004-09-07
2004-08-31,sp500,legacy,-10559,-1.4126,,747473,2004-09-07
2004-09-07,nasdaq100,legacy,-49308,-16.8983,,291793,2004-09-13
2004-09-07,sp500,legacy,23363,2.8765,,812200,2004-09-13
2004-09-14,nasdaq100,legacy,-14547,-3.3709,,431545,2004-09-20
2004-09-14,sp500,legacy,655,0.0771,,849628,2004-09-20
2004-09-21,nasdaq100,legacy,-23508,-10.1449,,231722,2004-09-27
2004-09-21,sp500,legacy,-11210,-1.9938,,562248,2004-09-27
2004-09-28,nasdaq100,legacy,-25558,-10.8821,,234863,2004-10-04
2004-09-28,sp500,legacy,448,0.0746,,600287,2004-10-04
2004-10-05,nasdaq100,legacy,2892,1.0977,,263471,2004-10-11
2004-10-05,sp500,legacy,770,0.1152,,668321,2004-10-11
2004-10-12,nasdaq100,legacy,13752,5.0228,,273789,2004-10-18
2004-10-12,sp500,legacy,12130,1.7622,,688342,2004-10-18
2004-10-19,nasdaq100,legacy,11489,4.2105,,272868,2004-10-25
2004-10-19,sp500,legacy,-21195,-2.8888,,733692,2004-10-25
2004-10-26,nasdaq100,legacy,-4463,-1.537,,290362,2004-11-01
2004-10-26,sp500,legacy,-48423,-6.5083,,744015,2004-11-01
2004-11-02,nasdaq100,legacy,15851,4.5444,,348804,2004-11-08
2004-11-02,sp500,legacy,-58255,-6.9937,,832960,2004-11-08
2004-11-09,nasdaq100,legacy,34800,9.9484,,349806,2004-11-15
2004-11-09,sp500,legacy,2485,0.2763,,899433,2004-11-15
2004-11-16,nasdaq100,legacy,57606,15.4429,,373025,2004-11-22
2004-11-16,sp500,legacy,49429,4.7871,,1032546,2004-11-22
2004-11-23,nasdaq100,legacy,75571,19.092,,395825,2004-11-30
2004-11-23,sp500,legacy,97452,9.0843,,1072750,2004-11-30
2004-11-30,nasdaq100,legacy,68561,16.7147,,410185,2004-12-06
2004-11-30,sp500,legacy,97627,8.939,,1092145,2004-12-06
2004-12-07,nasdaq100,legacy,66710,15.1675,,439821,2004-12-13
2004-12-07,sp500,legacy,89339,8.3114,,1074893,2004-12-13
2004-12-14,nasdaq100,legacy,81442,15.0482,,541208,2004-12-20
2004-12-14,sp500,legacy,81319,6.3401,,1282604,2004-12-20
2004-12-21,nasdaq100,legacy,94887,38.561,,246070,2004-12-28
2004-12-21,sp500,legacy,114217,15.9924,,714194,2004-12-28
2004-12-28,nasdaq100,legacy,95114,35.7709,,265898,2005-01-03
2004-12-28,sp500,legacy,110071,15.1233,,727822,2005-01-03
2005-01-04,nasdaq100,legacy,52489,17.1422,,306197,2005-01-10
2005-01-04,sp500,legacy,110297,13.7814,,800333,2005-01-10
2005-01-11,nasdaq100,legacy,55487,17.0418,,325593,2005-01-18
2005-01-11,sp500,legacy,95189,11.6088,,819971,2005-01-18
2005-01-18,nasdaq100,legacy,55870,16.3426,,341867,2005-01-24
2005-01-18,sp500,legacy,64641,7.665,,843323,2005-01-24
2005-01-25,nasdaq100,legacy,38465,10.9053,,352719,2005-01-31
2005-01-25,sp500,legacy,57991,6.8251,,849678,2005-01-31
2005-02-01,nasdaq100,legacy,-17501,-4.7379,,369383,2005-02-07
2005-02-01,sp500,legacy,-3420,-0.4212,,812013,2005-02-07
2005-02-08,nasdaq100,legacy,-27820,-7.2739,,382465,2005-02-14
