date,strategy,action,holdings,cash,equity,note,logged_at,prev_hash,row_hash
2026-07-09,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10412.15,,2026-07-09 20:14,96c22868d25dca6213d12ecc5dbe94f92cbbd8d2a1ce977a615070638be6700c,51c8b08f8e0d689945b3f9a75fa57816153ce2c8a7e1475ac29741c3b5b9bff5
2026-07-10,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10441.84,,2026-07-10 20:58,51c8b08f8e0d689945b3f9a75fa57816153ce2c8a7e1475ac29741c3b5b9bff5,1c7e6e66a8ec8c10536b444443a7390f2fe6d19cb2ce2e3d584f23ab65da3916
2026-07-10,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,9643.86,,2026-07-10 20:58,1c7e6e66a8ec8c10536b444443a7390f2fe6d19cb2ce2e3d584f23ab65da3916,ba2e3afc9c1f9be4a22e89f972e3885813b526763382b0aebfc99350f9ede392
2026-07-10,overnight,ROLL,{},10239.19,10239.19,隔夜-0.36%-成本,2026-07-10 20:58,ba2e3afc9c1f9be4a22e89f972e3885813b526763382b0aebfc99350f9ede392,bcf1cc0aeae14745f8257553c588381d3220cd1c7c31d79eaf2871490fec20a6
2026-07-10,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9964.09,,2026-07-10 20:58,bcf1cc0aeae14745f8257553c588381d3220cd1c7c31d79eaf2871490fec20a6,ea58353e852df61a6ac496c7b24c228502531008c8c72cccc543e197f07acaa7
2026-07-10,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10441.84,,2026-07-10 20:58,ea58353e852df61a6ac496c7b24c228502531008c8c72cccc543e197f07acaa7,d8cd87e46a8721de23868009b987b7259033f30b64fe9624bc8f5074dd543d30
2026-07-13,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10279.57,,2026-07-13 20:46,d8cd87e46a8721de23868009b987b7259033f30b64fe9624bc8f5074dd543d30,7eddf49e0deb0d32a38258b38c92345fb16957e74d64102e8c10f5c2d257dd03
2026-07-13,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,8898.79,,2026-07-13 20:46,7eddf49e0deb0d32a38258b38c92345fb16957e74d64102e8c10f5c2d257dd03,ee800505e3648f18d9d1de2076c3cfeefe18e4a647ad52e7b61a9ed54befb0a9
2026-07-13,overnight,ROLL,{},10127.2,10127.2,隔夜-1.07%-成本,2026-07-13 20:46,ee800505e3648f18d9d1de2076c3cfeefe18e4a647ad52e7b61a9ed54befb0a9,c4618711b50bbcc0743f76f7f3affddb28132ea022e99a39c5d46c0eb3a97994
2026-07-13,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9809.25,,2026-07-13 20:46,c4618711b50bbcc0743f76f7f3affddb28132ea022e99a39c5d46c0eb3a97994,5960af1021d3ee6dd67061243bceba8cf1702fcf4a72c11d0e1e3d16f67be3e8
2026-07-13,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10279.57,,2026-07-13 20:46,5960af1021d3ee6dd67061243bceba8cf1702fcf4a72c11d0e1e3d16f67be3e8,fae7e74a73479d49e94d2e1ff8b8fa7d5181447d1c1e43ad09fb4c529e3b7417
2026-07-14,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10372.47,,2026-07-14 21:28,fae7e74a73479d49e94d2e1ff8b8fa7d5181447d1c1e43ad09fb4c529e3b7417,9cbe25286fd85060274872f8274aafc4a4deb428fa7704ec22f6f436aa34f6ca
2026-07-14,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,9327.3,,2026-07-14 21:28,9cbe25286fd85060274872f8274aafc4a4deb428fa7704ec22f6f436aa34f6ca,abe1db02ccb7716349bbb60afc957fa737054c78bb9ad3aa575630e399c6cddd
2026-07-14,overnight,ROLL,{},10244.7,10244.7,隔夜+1.18%-成本,2026-07-14 21:28,abe1db02ccb7716349bbb60afc957fa737054c78bb9ad3aa575630e399c6cddd,5b75aa0e9107c724281defdf9ddf0cbe1629bcdd001a68ea06a222f60cd59085
2026-07-14,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9897.9,,2026-07-14 21:28,5b75aa0e9107c724281defdf9ddf0cbe1629bcdd001a68ea06a222f60cd59085,d8ba01024586ca8b7ff73105f8f19291d2bd1761808f257e71dad8d4f8e4ab2a
2026-07-14,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10372.47,,2026-07-14 21:28,d8ba01024586ca8b7ff73105f8f19291d2bd1761808f257e71dad8d4f8e4ab2a,08c871c0c967e528b1c91a04644aeea8ab364ed0775bf2c12dd32fcf8f69236b
2026-07-15,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10436.92,,2026-07-15 20:31,08c871c0c967e528b1c91a04644aeea8ab364ed0775bf2c12dd32fcf8f69236b,ea6e3e7dcd2c9f3146855007753808fdae73882d62bbcc0bde6e9f658d57ec31
2026-07-15,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,8682.77,,2026-07-15 20:31,ea6e3e7dcd2c9f3146855007753808fdae73882d62bbcc0bde6e9f658d57ec31,ea47693531025756f2a368a399314247ec5e59dace29efdf345d7ef526258bf8
2026-07-15,overnight,ROLL,{},10418.26,10418.26,隔夜+1.71%-成本,2026-07-15 20:31,ea47693531025756f2a368a399314247ec5e59dace29efdf345d7ef526258bf8,2f88f990f05dd94037ab0dbaed80a1858548cdac22c84326e3d501d0766cbcb7
2026-07-15,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9959.4,,2026-07-15 20:31,2f88f990f05dd94037ab0dbaed80a1858548cdac22c84326e3d501d0766cbcb7,4b681d3291051c24c13efd23bcbe3280b827c9131ca27e5362036ba1ab5fd5cd
2026-07-15,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10436.92,,2026-07-15 20:31,4b681d3291051c24c13efd23bcbe3280b827c9131ca27e5362036ba1ab5fd5cd,7b9665a0d4349d53aa57d261be2d24d198bf80485fd8c8268850f315d30aa3fc
2026-07-16,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10283.05,,2026-07-16 21:31,7b9665a0d4349d53aa57d261be2d24d198bf80485fd8c8268850f315d30aa3fc,57781462d51939a6e32b7b009de9d6ae8c61ba70e1cabf9977678818b1b45a7f
2026-07-16,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,7992.98,,2026-07-16 21:31,57781462d51939a6e32b7b009de9d6ae8c61ba70e1cabf9977678818b1b45a7f,d581688a883d2bf4f38d7c2560b526f089ea47537c9be9bf0f58435acb34922e
2026-07-16,overnight,ROLL,{},10332.86,10332.86,隔夜-0.80%-成本,2026-07-16 21:31,d581688a883d2bf4f38d7c2560b526f089ea47537c9be9bf0f58435acb34922e,eb7264642e54ef1793299b320227b6228c7e45f4aeb0e073302c9c2ee173a6e0
2026-07-16,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9812.57,,2026-07-16 21:31,eb7264642e54ef1793299b320227b6228c7e45f4aeb0e073302c9c2ee173a6e0,dfd6cf15339a190c067c06f737d73cf5c4bc64ba9d5797cd963f18b46cba9962
2026-07-16,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10283.05,,2026-07-16 21:31,dfd6cf15339a190c067c06f737d73cf5c4bc64ba9d5797cd963f18b46cba9962,01738414fc67908f99d334d3bf497e9d029f769b4b5bc884104098b07f1cc62d
2026-07-17,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10139.35,,2026-07-17 20:41,01738414fc67908f99d334d3bf497e9d029f769b4b5bc884104098b07f1cc62d,70171914c5708233e0296dfb830d119aa731613be4557d6b808efc9ddb3ac414
2026-07-17,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,7828.27,,2026-07-17 20:41,70171914c5708233e0296dfb830d119aa731613be4557d6b808efc9ddb3ac414,85daba212acda425f411fa95c032d1db23c3fe44a3164a22e8e34346270b0a93
2026-07-17,overnight,ROLL,{},10121.34,10121.34,隔夜-2.03%-成本,2026-07-17 20:41,85daba212acda425f411fa95c032d1db23c3fe44a3164a22e8e34346270b0a93,a3dd2ccbd3c63c3b3003a3b969636abb83c444597ba9cdd48ced314713349909
2026-07-17,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9675.44,,2026-07-17 20:41,a3dd2ccbd3c63c3b3003a3b969636abb83c444597ba9cdd48ced314713349909,17e7df411aecc0329f0b0c88e95b5aab4a0387b647f5c0e611bfe555216736b5
2026-07-17,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10139.35,,2026-07-17 20:41,17e7df411aecc0329f0b0c88e95b5aab4a0387b647f5c0e611bfe555216736b5,f8fac6ad4cb7975f4dc5a4a1c913bbbbdbd1394f70fca1d3e03e015898433343
2026-07-20,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10134.51,,2026-07-20 20:46,f8fac6ad4cb7975f4dc5a4a1c913bbbbdbd1394f70fca1d3e03e015898433343,cb6687909cba3f4276df1f4a43ed0a80da25edfd729eb85f5001a776bf9eaaf0
2026-07-20,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,8002.08,,2026-07-20 20:46,cb6687909cba3f4276df1f4a43ed0a80da25edfd729eb85f5001a776bf9eaaf0,a45967fe35f6ea0cdc7386b770a4cf4e8d92000431fcaf37dbcc2a0beca97d2b
2026-07-20,overnight,ROLL,{},10220.19,10220.19,隔夜+1.00%-成本,2026-07-20 20:46,a45967fe35f6ea0cdc7386b770a4cf4e8d92000431fcaf37dbcc2a0beca97d2b,480a2d6963146ff69aaf7c557d282ed00b1e37eabcaf5d320d16eeb7e0e3a907
2026-07-20,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9670.82,,2026-07-20 20:46,480a2d6963146ff69aaf7c557d282ed00b1e37eabcaf5d320d16eeb7e0e3a907,c77f3a44bb737c1e027d359ae07391ba285e5fe811297349499cb9a777e020b2
2026-07-20,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10134.51,,2026-07-20 20:46,c77f3a44bb737c1e027d359ae07391ba285e5fe811297349499cb9a777e020b2,aca532a2d56c02a23b096630a1d3f9ea9c4112be4aaa9239ade764d845b21beb
